source,rg_ratio,lab_a,mean_r,mean_g,mean_b,label
tongue,1.325757,141.640206,147.2189,111.0452,106.0644,1
tongue,1.35458,143.484437,150.7759,111.3083,109.4268,1
tongue,1.354461,143.25445,150.9283,111.4305,108.0695,1
tongue,1.368757,143.431848,143.774,105.0398,104.0045,1
tongue,1.378602,144.060568,147.0149,106.6405,105.2184,1
tongue,1.38925,142.401674,125.4439,90.2961,89.1586,1
tongue,1.388683,144.185269,143.3343,103.216,103.2219,1
tongue,1.359161,143.67621,152.5642,112.2488,109.7825,1
tongue,1.413387,145.135072,144.3531,102.1328,102.3086,0
tongue,1.335902,142.162544,146.5907,109.7316,105.9271,1
tongue,1.428981,145.992761,149.6192,104.7034,103.934,0
tongue,1.397133,144.013225,144.0971,103.1377,99.4771,1
tongue,1.331251,142.793514,145.1532,109.0352,111.2846,1
tongue,1.392638,144.247335,144.6487,103.8667,102.0839,1
tongue,1.342781,142.333787,144.4544,107.5785,104.4617,1
tongue,1.352624,142.989286,145.235,107.3727,106.0457,1
tongue,1.337159,141.95651,144.6057,108.144,103.8117,1
tongue,1.323323,141.415257,146.7112,110.8657,105.0097,1
tongue,1.368229,141.913507,128.654,94.0296,91.5738,1
tongue,1.435379,145.549455,145.9291,101.6658,98.603,0
tongue,1.337056,142.551414,148.7847,111.2778,108.6637,1
tongue,1.392323,143.788931,136.7676,98.2298,98.5029,1
tongue,1.381299,143.604119,142.4337,103.1157,101.0701,1
tongue,1.32894,141.005277,133.0299,100.1023,97.9136,1
tongue,1.343918,142.693136,149.1879,111.0097,107.5682,1
tongue,1.384384,143.022345,133.3112,96.2964,95.2592,1
tongue,1.376381,142.31261,139.3754,101.2622,93.2308,1
tongue,1.338927,141.356422,134.8025,100.6795,97.3381,1
tongue,1.309238,140.508661,135.7153,103.6598,100.7164,1
tongue,1.370133,141.65215,133.3467,97.3238,90.2574,1
tongue,1.393787,144.144383,144.4742,103.6559,101.349,1
tongue,1.209256,134.666332,132.542,109.6063,93.7999,1
tongue,1.376604,143.49654,146.473,106.4017,102.1689,1
tongue,1.374384,143.224859,141.1106,102.6719,100.2272,1
tongue,1.363278,143.314624,147.7851,108.4042,105.2683,1
tongue,1.348635,142.210542,142.787,105.8752,101.7231,1
tongue,1.3688,143.758156,153.3105,112.0036,107.3742,1
tongue,1.306455,140.092944,134.7557,103.1461,98.6396,1
tongue,1.387644,142.992418,133.9522,96.5321,94.144,1
tongue,1.379726,143.224997,143.7746,104.2052,99.4292,1
tongue,1.347371,142.055648,143.1504,106.2442,100.897,1
tongue,1.410874,144.347562,139.2322,98.6851,97.4372,1
tongue,1.321523,142.083843,153.2188,115.9411,111.6028,1
tongue,1.351982,142.913254,148.0776,109.5263,103.587,1
tongue,1.157126,132.283873,116.6484,100.8087,87.2403,1
tongue,1.373825,142.370814,134.3775,97.8127,94.1933,1
tongue,1.305888,140.992771,144.2138,110.4335,107.1298,1
tongue,1.330633,141.344989,135.2611,101.6517,100.0537,1
tongue,1.350659,142.938953,149.2194,110.4789,106.9015,1
tongue,1.415953,144.007115,133.2531,94.1084,93.4117,1
tongue,1.380676,143.728865,144.8996,104.9483,102.0326,1
tongue,1.188882,133.515448,119.0209,100.1116,86.4405,1
